                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.7505,                 5.3588,                 4.2001,                0.00104,                0.24783,                0.00138,                0.00038,                 3.8592,                 4.7679,                 4.1955,               0.070115,              0.0033205,              0.0033205
                      1,                 4.1581,                 5.0558,                 4.0588,                0.00126,                0.38577,                0.00207,                0.00041,                 3.5027,                 4.6699,                 4.3263,                0.04005,               0.006588,               0.006588
                      2,                 4.0251,                 4.8956,                 3.9663,                0.00322,                 0.0904,                0.00279,                0.00068,                 3.5007,                 5.1261,                 4.2319,              0.0099176,              0.0097894,              0.0097894
                      3,                 3.7909,                 4.7223,                  3.743,                0.01869,                0.06307,                0.01847,                 0.0054,                 3.2638,                 5.3536,                 3.7923,               0.009703,               0.009703,               0.009703
                      4,                 3.6022,                 4.3547,                 3.5135,                0.42017,                0.12999,                0.03355,                0.00976,                 3.1954,                 24.788,                 3.5168,               0.009703,               0.009703,               0.009703
                      5,                 3.4141,                 4.0498,                   3.26,                 0.2829,                0.15952,                0.06013,                0.01944,                 3.1199,                 4.1257,                 3.3077,               0.009604,               0.009604,               0.009604
                      6,                 3.2898,                 3.8977,                 3.1886,                0.25474,                0.10495,                0.04944,                 0.0142,                 3.0239,                 3.7708,                  3.231,               0.009505,               0.009505,               0.009505
                      7,                 3.2258,                 3.7322,                 3.0595,                0.16498,                 0.0926,                0.10029,                 0.0373,                  2.888,                 3.4242,                 3.0856,               0.009406,               0.009406,               0.009406
                      8,                 3.0727,                 3.5587,                 2.9786,                0.11091,                0.28442,                0.13744,                0.04467,                 2.7578,                 3.2189,                 2.9921,               0.009307,               0.009307,               0.009307
                      9,                 2.9889,                  3.416,                 2.9386,                0.12023,                0.29912,                 0.1042,                0.03675,                 2.5687,                 3.1073,                 2.8276,               0.009208,               0.009208,               0.009208
                     10,                 2.8924,                  3.295,                 2.8657,                0.20909,                0.24234,                0.16731,                0.07615,                 2.5591,                 2.9458,                 2.8643,               0.009109,               0.009109,               0.009109
                     11,                 2.7386,                 3.1044,                  2.792,                0.40909,                 0.2722,                0.21081,                0.08277,                 2.5387,                 2.8524,                 2.8194,                0.00901,                0.00901,                0.00901
                     12,                 2.7888,                 3.1374,                 2.7758,                0.31805,                0.28769,                0.23004,                0.09374,                 2.5717,                 3.4093,                 2.6759,               0.008911,               0.008911,               0.008911
                     13,                 2.6703,                 3.0991,                 2.6697,                0.68617,                0.22255,                0.33822,                0.15464,                 2.3497,                 2.5295,                 2.5934,               0.008812,               0.008812,               0.008812
                     14,                  2.591,                 2.9121,                 2.6037,                0.41918,                0.46124,                0.36483,                0.15017,                  2.155,                 2.4416,                 2.4442,               0.008713,               0.008713,               0.008713
                     15,                 2.5264,                 2.9331,                 2.5394,                0.31182,                0.42386,                0.31167,                0.13603,                 2.3559,                 2.5784,                 2.5762,               0.008614,               0.008614,               0.008614
                     16,                 2.4298,                 2.6707,                 2.5228,                0.48478,                0.34685,                0.38759,                0.19335,                 2.0944,                 2.2673,                 2.3741,               0.008515,               0.008515,               0.008515
                     17,                  2.364,                 2.6232,                  2.469,                0.41882,                0.57511,                0.45586,                0.21062,                 2.1468,                 2.5682,                 2.3672,               0.008416,               0.008416,               0.008416
                     18,                  2.317,                 2.5625,                 2.4171,                0.64756,                0.48787,                0.55496,                0.27824,                 1.9784,                 2.1572,                 2.2284,               0.008317,               0.008317,               0.008317
                     19,                 2.2735,                 2.4035,                 2.3878,                0.63224,                0.55406,                0.60996,                0.31385,                 2.1089,                 2.1407,                 2.2977,               0.008218,               0.008218,               0.008218
                     20,                  2.304,                 2.5018,                 2.3719,                0.55009,                0.56218,                0.56096,                0.28393,                 2.0225,                 2.0092,                  2.253,               0.008119,               0.008119,               0.008119
                     21,                 2.1775,                 2.3846,                 2.3405,                0.62713,                0.56374,                0.58728,                0.31964,                 1.9375,                 2.0803,                 2.2217,                0.00802,                0.00802,                0.00802
                     22,                 2.1603,                 2.2533,                 2.3047,                0.71281,                0.58022,                0.65282,                0.35755,                 1.9161,                 1.9334,                 2.1975,               0.007921,               0.007921,               0.007921
                     23,                 2.2251,                 2.2557,                 2.3011,                0.62291,                0.57096,                0.62623,                0.33988,                 1.9415,                 1.8594,                 2.1621,               0.007822,               0.007822,               0.007822
                     24,                  2.185,                 2.2772,                  2.287,                0.55756,                0.52036,                0.57118,                  0.296,                 1.9941,                 2.0299,                 2.2297,               0.007723,               0.007723,               0.007723
                     25,                 2.0935,                 2.2763,                 2.1996,                0.63927,                0.58628,                0.66991,                0.36793,                 1.8363,                 1.9581,                 2.1519,               0.007624,               0.007624,               0.007624
                     26,                 2.1279,                 2.1804,                 2.2485,                0.72061,                0.54426,                0.62685,                0.36243,                 1.9011,                 1.9671,                 2.1652,               0.007525,               0.007525,               0.007525
                     27,                 2.1285,                  2.157,                 2.2226,                0.69975,                0.55246,                0.66878,                0.38919,                 1.8362,                 1.9112,                  2.159,               0.007426,               0.007426,               0.007426
                     28,                 2.1512,                 2.1672,                 2.2395,                0.66377,                0.67181,                0.70147,                0.38487,                  1.864,                 1.7768,                  2.103,               0.007327,               0.007327,               0.007327
                     29,                 2.0696,                 2.1095,                 2.2292,                0.78925,                0.61428,                0.68959,                0.37751,                 1.8896,                 1.8419,                 2.1563,               0.007228,               0.007228,               0.007228
                     30,                 2.0597,                 2.0839,                  2.175,                0.72021,                0.62989,                0.69566,                0.39987,                 1.7907,                 1.7289,                 2.0373,               0.007129,               0.007129,               0.007129
                     31,                 2.0716,                 2.0708,                 2.1608,                0.72395,                0.63037,                0.71656,                0.42662,                 1.7009,                 1.8994,                  1.981,                0.00703,                0.00703,                0.00703
                     32,                 2.0299,                 2.0029,                  2.142,                0.76642,                0.67042,                0.75538,                0.45003,                   1.67,                 1.8026,                  1.948,               0.006931,               0.006931,               0.006931
                     33,                 1.9561,                 1.9441,                  2.102,                0.82569,                0.63722,                0.76051,                0.43695,                 1.7384,                 1.6456,                 1.9982,               0.006832,               0.006832,               0.006832
                     34,                 1.9947,                 1.9563,                 2.0932,                0.79669,                0.67015,                 0.7516,                0.42162,                 1.8087,                 1.7862,                 2.0555,               0.006733,               0.006733,               0.006733
                     35,                 1.9084,                 1.8299,                   2.07,                0.80397,                0.67616,                0.78856,                0.43768,                 1.7763,                 1.5559,                 2.0427,               0.006634,               0.006634,               0.006634
                     36,                 1.8809,                 1.8144,                 2.0408,                0.87256,                0.60248,                0.77461,                 0.4487,                 1.6484,                 1.4832,                 1.9232,               0.006535,               0.006535,               0.006535
                     37,                  1.888,                 1.8283,                 2.0142,                0.66095,                0.65986,                0.68675,                0.42499,                 1.6632,                 1.8574,                 1.9391,               0.006436,               0.006436,               0.006436
                     38,                  1.899,                 1.7872,                 2.0383,                0.71755,                0.69392,                0.76015,                0.47007,                 1.6919,                 1.5251,                 1.9738,               0.006337,               0.006337,               0.006337
                     39,                 1.8708,                  1.817,                 2.0145,                0.73642,                0.66892,                0.75626,                0.46749,                  1.645,                 1.6352,                 1.9097,               0.006238,               0.006238,               0.006238
                     40,                  1.853,                 1.7805,                 1.9989,                0.80689,                0.66152,                0.80029,                0.49662,                 1.6082,                 1.5752,                 1.8667,               0.006139,               0.006139,               0.006139
                     41,                  1.808,                 1.7255,                 1.9636,                0.75785,                0.70087,                 0.8007,                0.50163,                 1.6167,                  1.479,                 1.8647,                0.00604,                0.00604,                0.00604
                     42,                 1.8324,                 1.7121,                 1.9804,                0.81445,                0.72925,                 0.8186,                0.50929,                 1.5448,                 1.4157,                 1.8499,               0.005941,               0.005941,               0.005941
                     43,                 1.8033,                 1.6097,                 1.9715,                0.83669,                0.71464,                0.82074,                 0.5311,                 1.5064,                 1.4745,                 1.8191,               0.005842,               0.005842,               0.005842
                     44,                 1.7478,                 1.6123,                 1.9032,                0.80752,                0.73595,                0.83406,                0.54312,                 1.5495,                 1.3619,                 1.7833,               0.005743,               0.005743,               0.005743
                     45,                 1.7182,                  1.567,                  1.919,                0.69821,                0.81661,                0.83011,                0.53276,                 1.4791,                 1.4198,                 1.8276,               0.005644,               0.005644,               0.005644
                     46,                 1.6912,                  1.561,                 1.8827,                0.84478,                0.75573,                0.82925,                0.55268,                 1.4363,                 1.3386,                 1.7749,               0.005545,               0.005545,               0.005545
                     47,                 1.6983,                 1.5385,                 1.8832,                0.76573,                0.82601,                0.85331,                0.54338,                 1.5561,                 1.3281,                 1.7884,               0.005446,               0.005446,               0.005446
                     48,                 1.6851,                 1.5208,                 1.8428,                0.78929,                0.85147,                0.86629,                0.56211,                 1.4881,                 1.2599,                 1.7814,               0.005347,               0.005347,               0.005347
                     49,                 1.6856,                 1.5405,                  1.843,                0.79528,                0.78464,                0.84707,                0.55798,                 1.5066,                 1.3152,                 1.7568,               0.005248,               0.005248,               0.005248
                     50,                 1.6867,                 1.4907,                 1.8527,                0.85655,                0.79425,                0.88476,                0.56679,                  1.509,                 1.3131,                 1.7513,               0.005149,               0.005149,               0.005149
                     51,                 1.6483,                 1.4428,                 1.8078,                 0.8634,                0.80721,                0.88947,                0.59439,                 1.4361,                 1.3339,                 1.7117,                0.00505,                0.00505,                0.00505
                     52,                 1.6096,                 1.4217,                 1.7866,                0.84856,                0.89434,                0.90054,                0.58625,                  1.457,                  1.208,                 1.7143,               0.004951,               0.004951,               0.004951
