                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5087,                 5.7606,                 4.3615,                      0,                      0,                      0,                      0,                 3.4537,                 5.3062,                  4.164,             3.9047e-05,             3.9047e-05,             3.9047e-05
                      2,                 3.6226,                 5.7057,                 4.2681,                      0,                      0,                      0,                      0,                 3.4517,                 5.3049,                 4.1695,             7.7934e-05,             7.7934e-05,             7.7934e-05
                      3,                 3.5521,                 5.7462,                  4.279,                      0,                      0,                      0,                      0,                 3.4367,                  5.296,                 4.1713,             0.00011604,             0.00011604,             0.00011604
                      4,                  3.635,                 5.7276,                 4.2622,                0.69333,                0.00282,                0.00215,                0.00047,                 3.3982,                 5.2802,                 4.2708,             0.00011547,             0.00011547,             0.00011547
                      5,                 3.7325,                 5.7445,                 4.2467,                0.53699,                 0.0005,                 0.0003,                0.00014,                 3.4036,                 5.3991,                 4.4249,             0.00011547,             0.00011547,             0.00011547
                      6,                 3.5223,                  5.631,                 4.2375,                0.60763,                0.00056,                0.00049,                0.00016,                 3.4206,                 6.5038,                 4.4759,             0.00011429,             0.00011429,             0.00011429
                      7,                 3.5797,                 5.6385,                 4.2348,                0.73243,                0.00017,                  2e-05,                  1e-05,                 3.4183,                 6.2363,                 4.3471,             0.00011311,             0.00011311,             0.00011311
                      8,                 3.5481,                 5.7171,                 4.2245,                0.00039,                0.01055,                0.00029,                0.00011,                 3.4275,                 7.3831,                  4.369,             0.00011193,             0.00011193,             0.00011193
                      9,                 3.5578,                 5.6265,                 4.2076,                0.00062,                 0.0105,                 0.0005,                0.00017,                 3.4151,                 7.0245,                 4.3213,             0.00011075,             0.00011075,             0.00011075
                     10,                 3.5371,                 5.5818,                  4.208,                 0.0019,                 0.0086,                 0.0011,                0.00024,                 3.4274,                 7.1444,                 4.3486,             0.00010958,             0.00010958,             0.00010958
                     11,                 3.6552,                 5.6003,                 4.2088,                0.00494,                0.01527,                0.00416,                0.00083,                 3.4177,                 16.836,                  4.444,              0.0001084,              0.0001084,              0.0001084
                     12,                 3.5293,                 5.5722,                 4.1856,                0.00033,                0.01518,                0.00023,                  6e-05,                 3.4162,                 16.992,                  4.367,             0.00010722,             0.00010722,             0.00010722
                     13,                 3.5286,                 5.6199,                 4.1829,                0.00032,                0.01278,                 0.0002,                  5e-05,                 3.4144,                  10.06,                 4.2908,             0.00010604,             0.00010604,             0.00010604
                     14,                 3.5368,                 5.5445,                 4.1821,                0.00012,                0.01127,                  8e-05,                  3e-05,                 3.4149,                 10.554,                 4.2645,             0.00010486,             0.00010486,             0.00010486
                     15,                 3.5128,                 5.5101,                 4.1657,                0.00016,                0.01393,                0.00013,                  2e-05,                 3.4134,                 6.3485,                 4.2477,             0.00010368,             0.00010368,             0.00010368
                     16,                  3.646,                 5.5699,                 4.1642,                0.00189,                0.01362,                0.00103,                0.00057,                 3.4128,                 7.3954,                 4.2803,             0.00010251,             0.00010251,             0.00010251
                     17,                 3.5735,                 5.5505,                 4.1647,                0.60578,                0.00321,                 0.0001,                  3e-05,                 3.4016,                 6.7883,                 4.2747,             0.00010133,             0.00010133,             0.00010133
                     18,                 3.6199,                 5.5318,                 4.1541,                0.00014,                0.01894,                0.00011,                  2e-05,                 3.3898,                 7.0766,                 4.2801,             0.00010015,             0.00010015,             0.00010015
                     19,                 3.5196,                 5.5034,                 4.1503,                0.00022,                0.02398,                0.00019,                  5e-05,                 3.3945,                 5.8669,                 4.2302,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     20,                 3.5905,                 5.5636,                 4.1551,                0.00026,                0.01636,                0.00019,                  5e-05,                  3.371,                 6.0508,                 4.2725,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     21,                 3.5516,                 5.5517,                 4.1473,                0.00021,                0.02573,                 0.0002,                  5e-05,                 3.3931,                 5.6351,                 4.2578,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     22,                  3.507,                 5.4606,                 4.1436,                 0.0002,                0.02388,                0.00017,                  5e-05,                 3.3641,                 5.8726,                 4.2549,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     23,                 3.6897,                 5.5968,                 4.1243,                0.01433,                0.02213,                0.00801,                0.00161,                 3.3758,                 5.2986,                 4.1958,              9.426e-05,              9.426e-05,              9.426e-05
                     24,                 3.5971,                 5.5542,                 4.1233,                0.00054,                0.01836,                0.00105,                0.00012,                  3.368,                 5.2982,                 4.1895,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     25,                 3.6827,                 5.5264,                 4.1261,                0.00015,                  0.019,                0.00011,                  4e-05,                 3.3706,                 5.6452,                 4.2034,             9.1904e-05,             9.1904e-05,             9.1904e-05
